aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>3>2>;2>14>;2>14>2>;2>31>;2>41>;2>41>41>;2>41>41>41>;2>46>;2>46>1>;2 3>;2 14>;2 14>41>;2 14>41>41>;2 14 41>;2 31>;2 41>;3>2>;3 14>;5>5>;6>6>;6>6>6>;6>6>6>6>;6 7>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>30>;14>31>;14>31>30>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>48>;14 30>;14 30>41>;14 31>;14 31 41>;14 41>;14 41>41>;14 41>41>41>;14 41>41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;17>30>;30>14>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31 41>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41>44>44>44>;41 43>;41 43>44>;41 43>44>44>;41 43>44>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;
23668-5490;1;3;2;;11;2;;15;;1;6;6;;7;3;3;;1;;;1;1;1;1;;;2;2;;1;;;;;1;1;;;;;;;2;;3;3;2;1;1;;;;2;;;;;2;;;1;;;;;;3;1;3;;5;1;;;;;;;;;;;1;;2;;;1;;1;;1;1;3;;1;;1;1;1;;;;;2;1;1;1;;;;;;;;1;1;;1;1;1;;;1;1;;;1;;2;;1;;;;;;
25326-5490;;2;;2;;1;;6;;;;1;1;7;3;5;1;;2;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;;;;1;;;;;;1;;;;;1;;;;1;;;;1;1;2;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;1;;;;;1;1;1;;1;2;2;1;1;1;1;1;;;
14932-4114;;5;;2;;1;;6;;;7;7;;5;2;2;;;;;;;;;;;;;1;;;;;;;2;;;1;1;1;;;1;;;;;;1;;;;;;1;;;1;1;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;2;1;2;1;;;3;;;;1;;;;;;;1;1;2;1;1;1;1;;;;;1;1;;1;1;1;;;2;1;1;1;;1;2;;1;;1;;1;;
15016-4433;;1;;;;;;4;;;8;8;;5;3;2;;;2;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;1;;;;;;1;;;;;;;2;3;;;1;1;2;2;;;7;;;;;1;1;;;;;2;2;1;1;;;;;;1;1;;;;;;;;;1;1;;;;;1;;;;;;;;
22279-4114;;1;;;;1;;15;1;;4;4;;12;4;5;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;2;2;4;4;3;1;;;2;;2;1;5;1;1;;1;1;1;;1;1;;;;1;;;;2;1;1;1;1;1;2;1;;;;;;;1;;2;1;;5;;5;2;1;1;;;;2;2;2;3;2;2;2;;2;2;2;2;2;1;2;2;2;2;2;2;2;;
22977-5799;;6;1;;4;2;;20;;1;4;5;;7;8;5;1;;8;;;;;;;;;;;;;;;;;4;;;1;;1;;1;;1;1;;;;;1;;1;;;;3;;4;3;2;;;;3;1;1;;1;;3;;;;2;3;;4;;;;;1;2;1;1;;;;1;;;2;3;1;1;1;;;;;;;;1;1;1;;1;;;;;1;;;;;3;;;;;3;3;2;1;2;;3;1;2;1;1;1;1;;
12626-7114;1;3;1;2;;2;;17;1;;2;6;2;12;1;2;2;1;1;1;;;;;;;;;;;;;1;1;;2;;;;;;;;;;;;;;;1;1;1;;;1;;;3;;;;;;;;2;;2;;7;;;;;;;1;1;;1;1;;;;;;1;;;;;;;;;;;2;;1;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;
17228-6401;2;11;5;3;;2;;26;2;2;7;9;;11;1;;;2;1;1;1;1;1;1;;;4;;2;;;;;;;4;;;;1;;;2;2;;;;;;2;1;;5;2;2;;3;;5;3;2;;;;;1;1;;1;;8;;;;;;;;2;;2;2;1;4;1;;;;;;;;2;5;3;;;;2;1;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
22612-4603;3;6;;3;5;2;;5;;;;;;6;1;1;;3;;;2;1;1;;;;;;;;;;2;1;;3;;;2;;2;;;;2;2;1;;1;1;;1;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;1;1;;;;1;1;;;;;;;1;
22433-4434;;2;;4;;3;1;21;;;3;4;2;17;10;11;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;3;;;1;;;;;;1;;3;2;1;1;1;;1;;;;9;1;1;1;1;2;2;;;;;;;1;1;;;;;;1;1;1;1;;1;;;;;;;1;;2;1;3;;1;1;1;;1;1;1;2;2;;4;2;2;;;5;2;;;6;;5;3;3;2;1;1;;;
